Year,Geography,Occupation,Value
2013,Eastern region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",26.14
2013,Eastern region,    Creative Designers And Craftspersons,23.55
2014,Eastern region,    Creative Designers And Craftspersons,23.45
2015,Eastern region,    Creative Designers And Craftspersons,24.12
2013,Eastern region,"    Athletes, Coaches, Referees And Related Occupations",15.21
2014,Eastern region,"    Athletes, Coaches, Referees And Related Occupations",15.91
2015,Eastern region,"    Athletes, Coaches, Referees And Related Occupations",17.74
2013,Eastern region,    Sales And Service Supervisors,16.68
2014,Eastern region,    Sales And Service Supervisors,17.99
2015,Eastern region,    Sales And Service Supervisors,19.78
2013,Eastern region,"    Sales Representatives, Wholesale Trade",25.73
2014,Eastern region,"    Sales Representatives, Wholesale Trade",27.28
2015,Eastern region,"    Sales Representatives, Wholesale Trade",30.35
2013,Eastern region,"    Technical Sales Specialists, Wholesale Trade",29.99
2014,Eastern region,"    Technical Sales Specialists, Wholesale Trade",31.77
2015,Eastern region,"    Technical Sales Specialists, Wholesale Trade",33.79
2013,Eastern region,    Insurance And Real Estate Sales Occupations And Buyers,24.13
2014,Eastern region,    Insurance And Real Estate Sales Occupations And Buyers,22.94
2015,Eastern region,    Insurance And Real Estate Sales Occupations And Buyers,22.12
2013,Eastern region,    Retail Salespersons And Sales Clerks,13.72
2014,Eastern region,    Retail Salespersons And Sales Clerks,13.93
2015,Eastern region,    Retail Salespersons And Sales Clerks,13.67
2013,Eastern region,    Cashiers,11.09
2014,Eastern region,    Cashiers,11.24
2015,Eastern region,    Cashiers,11.68
2013,Eastern region,    Chefs And Cooks,13.98
2014,Eastern region,    Chefs And Cooks,13.95
2015,Eastern region,    Chefs And Cooks,14.78
2013,Eastern region,    Occupations In Food And Beverage Service,13.13
2014,Eastern region,    Occupations In Food And Beverage Service,14.3
2015,Eastern region,    Occupations In Food And Beverage Service,14.77
2013,Eastern region,    Police Officers And Fire-Fighters,35.18
2014,Eastern region,    Police Officers And Fire-Fighters,37.88
2015,Eastern region,    Police Officers And Fire-Fighters,39.75
2013,Eastern region,    Other Occupations In Protective Service,27.94
2014,Eastern region,    Other Occupations In Protective Service,30.54
2015,Eastern region,    Other Occupations In Protective Service,39.29
2013,Eastern region,    Security Guards And Related Occupations,17.66
2014,Eastern region,    Security Guards And Related Occupations,17.46
2015,Eastern region,    Security Guards And Related Occupations,19.13
2013,Eastern region,    Occupations In Travel And Accommodation,19.39
2014,Eastern region,    Occupations In Travel And Accommodation,19.44
2015,Eastern region,    Occupations In Travel And Accommodation,17.79
2013,Eastern region,"    Other Attendants In Travel, Accommodation And Recreation",14.13
2014,Eastern region,"    Other Attendants In Travel, Accommodation And Recreation",11.79
2015,Eastern region,"    Other Attendants In Travel, Accommodation And Recreation",14.39
2013,Eastern region,    Childcare And Home Support Workers,17.9
2014,Eastern region,    Childcare And Home Support Workers,17.23
2015,Eastern region,    Childcare And Home Support Workers,18.13
2013,Eastern region,    Technical Occupations In Personal Service,16.5
2014,Eastern region,    Technical Occupations In Personal Service,14.53
2015,Eastern region,    Technical Occupations In Personal Service,16.85
2013,Eastern region,    Other Occupations In Personal Service,14.92
2014,Eastern region,    Other Occupations In Personal Service,15
2015,Eastern region,    Other Occupations In Personal Service,15.25
2013,Eastern region,    Cleaners,16.61
2014,Eastern region,    Cleaners,15.98
2015,Eastern region,    Cleaners,15.86
2013,Eastern region,    Butchers And Bakers,11.7
2014,Eastern region,    Butchers And Bakers,15.26
2015,Eastern region,    Butchers And Bakers,13.68
2013,Eastern region,    Food Counter Attendants And Kitchen Helpers,12.01
2014,Eastern region,    Food Counter Attendants And Kitchen Helpers,12.27
2015,Eastern region,    Food Counter Attendants And Kitchen Helpers,12.28
2013,Eastern region,    Other Sales And Related Occupations,12.34
2014,Eastern region,    Other Sales And Related Occupations,12.67
2015,Eastern region,    Other Sales And Related Occupations,12.74
2013,Eastern region,    Other Elemental Service Occupations,14.56
2014,Eastern region,    Other Elemental Service Occupations,15.4
2015,Eastern region,    Other Elemental Service Occupations,12.99
2013,Eastern region,"    Contractors And Supervisors, Trades And Related Workers",27.42
2014,Eastern region,"    Contractors And Supervisors, Trades And Related Workers",29.26
2015,Eastern region,"    Contractors And Supervisors, Trades And Related Workers",29.42
2013,Eastern region,"    Plumbers, Pipefitters And Gas Fitters",22.46
2014,Eastern region,"    Plumbers, Pipefitters And Gas Fitters",25.91
2015,Eastern region,"    Plumbers, Pipefitters And Gas Fitters",30.85
2013,Eastern region,    Carpenters And Cabinetmakers,21.26
2014,Eastern region,    Carpenters And Cabinetmakers,20.9
2015,Eastern region,    Carpenters And Cabinetmakers,20.66
2014,Eastern region,    Masonry And Plastering Trades,24.93
2013,Eastern region,    Other Construction Trades,20.37
2014,Eastern region,    Other Construction Trades,20.42
2015,Eastern region,    Other Construction Trades,22.04
2013,Eastern region,    Electrical Trades And Telecommunications Occupations,27.74
2014,Eastern region,    Electrical Trades And Telecommunications Occupations,29.32
2015,Eastern region,    Electrical Trades And Telecommunications Occupations,30.89
2013,Eastern region,    Machinists And Related Occupations,25.92
2015,Eastern region,    Machinists And Related Occupations,24
2013,Eastern region,"    Metal Forming, Shaping And Erecting Occupations",25.9
2014,Eastern region,"    Metal Forming, Shaping And Erecting Occupations",24.12
2015,Eastern region,"    Metal Forming, Shaping And Erecting Occupations",25.05
2013,Eastern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.14
2014,Eastern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.49
2015,Eastern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),28.54
2013,Eastern region,    Motor Vehicle Mechanics,19.91
2014,Eastern region,    Motor Vehicle Mechanics,21.14
2015,Eastern region,    Motor Vehicle Mechanics,22.9
2013,Eastern region,"    Other Installers, Repairers And Servicers",19.69
2014,Eastern region,"    Other Installers, Repairers And Servicers",18.42
2015,Eastern region,"    Other Installers, Repairers And Servicers",17.72
2013,Eastern region,    Heavy Equipment Operators,23.44
2014,Eastern region,    Heavy Equipment Operators,23.82
2015,Eastern region,    Heavy Equipment Operators,26.86
2013,Eastern region,    Motor Vehicle And Transit Drivers,18.57
2014,Eastern region,    Motor Vehicle And Transit Drivers,18.89
2015,Eastern region,    Motor Vehicle And Transit Drivers,19.08
2013,Eastern region,    Longshore Workers And Material Handlers,17.94
2014,Eastern region,    Longshore Workers And Material Handlers,18.06
2015,Eastern region,    Longshore Workers And Material Handlers,16.94
2013,Eastern region,    Trades Helpers And Labourers,19.91
2014,Eastern region,    Trades Helpers And Labourers,20.01
2015,Eastern region,    Trades Helpers And Labourers,17.82
2014,Eastern region,"    Public Works And Other Labourers, N.E.C.",23.63
2013,Eastern region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",19.97
2014,Eastern region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",22.17
2015,Eastern region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",19.93
