Year,Geography,Occupation,Value
2015,Northern region,"   Trades helpers, construction, and transportation labourers and related occupations",19.36
2013,Northern region,Occupations unique to primary industry,27.01
2014,Northern region,Occupations unique to primary industry,26.06
2015,Northern region,Occupations unique to primary industry,26.61
2013,Northern region,"Occupations unique to processing, manufacturing and utilities",25.17
2014,Northern region,"Occupations unique to processing, manufacturing and utilities",26.1
2015,Northern region,"Occupations unique to processing, manufacturing and utilities",24.05
2013,Northern region,"   Machine operators and assemblers in manufacturing, including supervisors",26.01
2014,Northern region,"   Machine operators and assemblers in manufacturing, including supervisors",27.32
2015,Northern region,"   Machine operators and assemblers in manufacturing, including supervisors",25.05
2013,Northern region,"   Labourer in processing, manufacturing and utilities",22.11
2014,Northern region,"   Labourer in processing, manufacturing and utilities",22.4
2015,Northern region,"   Labourer in processing, manufacturing and utilities",21.81
2013,Northern region,    Managers In Retail Trade,29.17
2014,Northern region,    Managers In Retail Trade,32.94
2015,Northern region,    Managers In Retail Trade,28.03
2013,Northern region,"    Managers In Health, Education, Social And Community Services",38.69
2014,Northern region,"    Managers In Health, Education, Social And Community Services",47.33
2015,Northern region,"    Managers In Health, Education, Social And Community Services",43.84
2013,Northern region,"    Auditors, Accountants And Investment Professionals",34.93
2014,Northern region,"    Auditors, Accountants And Investment Professionals",33.95
2015,Northern region,"    Auditors, Accountants And Investment Professionals",33.24
2014,Northern region,    Human Resources And Business Service Professionals,37.27
2015,Northern region,    Human Resources And Business Service Professionals,35.72
2013,Northern region,    Finance And Insurance Administrative Occupations,21.81
2014,Northern region,    Finance And Insurance Administrative Occupations,26.78
2015,Northern region,    Finance And Insurance Administrative Occupations,22.06
2013,Northern region,"    Secretaries, Recorders And Transcriptionists",19.79
2014,Northern region,"    Secretaries, Recorders And Transcriptionists",20.87
2015,Northern region,"    Secretaries, Recorders And Transcriptionists",21.66
2013,Northern region,    Administrative And Regulatory Occupations,23.35
2014,Northern region,    Administrative And Regulatory Occupations,24.69
2015,Northern region,    Administrative And Regulatory Occupations,25.62
2013,Northern region,    Clerical Supervisors,24.25
2014,Northern region,    Clerical Supervisors,24.46
2015,Northern region,    Clerical Supervisors,26.41
2013,Northern region,"    Clerical Occupations, General Office Skills",18.06
2014,Northern region,"    Clerical Occupations, General Office Skills",19.55
2015,Northern region,"    Clerical Occupations, General Office Skills",19.32
2013,Northern region,    Finance And Insurance Clerks,21.88
2014,Northern region,    Finance And Insurance Clerks,21.42
2015,Northern region,    Finance And Insurance Clerks,20.59
2013,Northern region,    Administrative Support Clerks,21.66
2014,Northern region,    Administrative Support Clerks,22.79
2015,Northern region,    Administrative Support Clerks,20.87
2013,Northern region,"    Library, Correspondence And Related Information Clerks",16.06
2014,Northern region,"    Library, Correspondence And Related Information Clerks",15.67
2015,Northern region,"    Library, Correspondence And Related Information Clerks",16.68
2013,Northern region,    Mail And Message Distribution Occupations,20.07
2014,Northern region,    Mail And Message Distribution Occupations,21.64
2015,Northern region,    Mail And Message Distribution Occupations,20.22
2013,Northern region,"    Recording, Scheduling And Distributing Occupations",19.25
2014,Northern region,"    Recording, Scheduling And Distributing Occupations",19.48
2015,Northern region,"    Recording, Scheduling And Distributing Occupations",20.53
2013,Northern region,   Computer and Information Systems Professionals,29.26
2014,Northern region,   Computer and Information Systems Professionals,32
2015,Northern region,   Computer and Information Systems Professionals,35.26
2015,Northern region,    Technical Occupations In Physical Sciences,30.17
2014,Northern region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",27.08
2013,Northern region,    Technical Occupations In Electronics And Electrical Engineering,30.13
2014,Northern region,    Technical Occupations In Electronics And Electrical Engineering,33.01
2015,Northern region,    Technical Occupations In Electronics And Electrical Engineering,27.13
2013,Northern region,    Other Technical Inspectors And Regulatory Officers,33.31
2014,Northern region,    Other Technical Inspectors And Regulatory Officers,35.47
2013,Northern region,   Technical Occupations in Computer and Information Systems,25.23
2014,Northern region,   Technical Occupations in Computer and Information Systems,26.05
2015,Northern region,   Technical Occupations in Computer and Information Systems,31.38
2014,Northern region,    Therapy And Assessment Professionals,34.75
2013,Northern region,    Nurse Supervisors And Registered Nurses,35.82
2014,Northern region,    Nurse Supervisors And Registered Nurses,34.51
2015,Northern region,    Nurse Supervisors And Registered Nurses,35.59
2013,Northern region,    Medical Technologists And Technicians (Except Dental Health),31.92
2014,Northern region,    Medical Technologists And Technicians (Except Dental Health),28.54
2015,Northern region,    Medical Technologists And Technicians (Except Dental Health),29.83
2013,Northern region,    Other Technical Occupations In Health Care (Except Dental),28.19
2014,Northern region,    Other Technical Occupations In Health Care (Except Dental),28.77
2015,Northern region,    Other Technical Occupations In Health Care (Except Dental),28.01
2013,Northern region,    Assisting Occupations In Support Of Health Services,20.03
2014,Northern region,    Assisting Occupations In Support Of Health Services,20.09
2015,Northern region,    Assisting Occupations In Support Of Health Services,21.04
2013,Northern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",28.48
2014,Northern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",28.69
2015,Northern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",30.65
2013,Northern region,"    Policy And Program Officers, Researchers And Consultants",31.8
2014,Northern region,"    Policy And Program Officers, Researchers And Consultants",33.56
2015,Northern region,"    Policy And Program Officers, Researchers And Consultants",38.43
2013,Northern region,    University Professors And Assistants,34.66
2014,Northern region,    University Professors And Assistants,34.03
2015,Northern region,    University Professors And Assistants,31.7
2013,Northern region,    College And Other Vocational Instructors,34.51
2014,Northern region,    College And Other Vocational Instructors,40.23
2015,Northern region,    College And Other Vocational Instructors,39.62
2013,Northern region,    Secondary And Elementary School Teachers And Counsellors,40.47
2014,Northern region,    Secondary And Elementary School Teachers And Counsellors,37.72
2015,Northern region,    Secondary And Elementary School Teachers And Counsellors,38.62
2013,Northern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",21.3
2014,Northern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.36
2015,Northern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.16
2014,Northern region,"    Writing, Translating And Public Relations Professionals",24.43
2013,Northern region,    Sales And Service Supervisors,17.04
2014,Northern region,    Sales And Service Supervisors,17.44
2015,Northern region,    Sales And Service Supervisors,17.54
2013,Northern region,"    Sales Representatives, Wholesale Trade",23.75
2014,Northern region,"    Sales Representatives, Wholesale Trade",24.79
2015,Northern region,"    Sales Representatives, Wholesale Trade",27.8
2013,Northern region,    Insurance And Real Estate Sales Occupations And Buyers,20.47
2015,Northern region,    Insurance And Real Estate Sales Occupations And Buyers,21.51
2013,Northern region,    Retail Salespersons And Sales Clerks,13.64
2014,Northern region,    Retail Salespersons And Sales Clerks,13.81
2015,Northern region,    Retail Salespersons And Sales Clerks,14.94
2013,Northern region,    Cashiers,11.1
2014,Northern region,    Cashiers,11.03
2015,Northern region,    Cashiers,11.77
2013,Northern region,    Chefs And Cooks,13.74
2014,Northern region,    Chefs And Cooks,13.25
2015,Northern region,    Chefs And Cooks,13.66
2013,Northern region,    Occupations In Food And Beverage Service,11.98
2014,Northern region,    Occupations In Food And Beverage Service,12.71
2015,Northern region,    Occupations In Food And Beverage Service,13.42
2013,Northern region,    Police Officers And Fire-Fighters,37.12
2014,Northern region,    Police Officers And Fire-Fighters,37.58
2015,Northern region,    Police Officers And Fire-Fighters,35.27
2013,Northern region,    Other Occupations In Protective Service,28.81
2013,Northern region,    Security Guards And Related Occupations,15.45
2014,Northern region,    Security Guards And Related Occupations,15.65
2015,Northern region,    Security Guards And Related Occupations,17.98
2013,Northern region,    Childcare And Home Support Workers,18.7
2014,Northern region,    Childcare And Home Support Workers,19.57
2015,Northern region,    Childcare And Home Support Workers,17.88
2013,Northern region,    Cleaners,15.69
2014,Northern region,    Cleaners,17.03
2015,Northern region,    Cleaners,16.75
2013,Northern region,    Butchers And Bakers,14.13
2014,Northern region,    Butchers And Bakers,14
2015,Northern region,    Butchers And Bakers,13.32
2013,Northern region,    Food Counter Attendants And Kitchen Helpers,12.25
2014,Northern region,    Food Counter Attendants And Kitchen Helpers,12.39
2015,Northern region,    Food Counter Attendants And Kitchen Helpers,12.8
2013,Northern region,    Other Sales And Related Occupations,12.05
2014,Northern region,    Other Sales And Related Occupations,12.25
2015,Northern region,    Other Sales And Related Occupations,13.22
2013,Northern region,"    Contractors And Supervisors, Trades And Related Workers",31.67
2014,Northern region,"    Contractors And Supervisors, Trades And Related Workers",30.82
2015,Northern region,"    Contractors And Supervisors, Trades And Related Workers",30.73
2013,Northern region,    Carpenters And Cabinetmakers,23.96
2014,Northern region,    Carpenters And Cabinetmakers,23.28
2015,Northern region,    Carpenters And Cabinetmakers,27.23
2013,Northern region,    Electrical Trades And Telecommunications Occupations,27.94
2014,Northern region,    Electrical Trades And Telecommunications Occupations,30.55
2015,Northern region,    Electrical Trades And Telecommunications Occupations,29.81
2014,Northern region,    Stationary Engineers And Power Station And System Operators,35.22
2013,Northern region,"    Metal Forming, Shaping And Erecting Occupations",25.15
2014,Northern region,"    Metal Forming, Shaping And Erecting Occupations",24.3
2015,Northern region,"    Metal Forming, Shaping And Erecting Occupations",26.77
2013,Northern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.98
2014,Northern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),30.32
2015,Northern region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),31.29
2013,Northern region,    Motor Vehicle Mechanics,24.64
2014,Northern region,    Motor Vehicle Mechanics,23.49
2015,Northern region,    Motor Vehicle Mechanics,24.9
2014,Northern region,"    Other Installers, Repairers And Servicers",19.81
2015,Northern region,"    Other Installers, Repairers And Servicers",21.96
2013,Northern region,    Heavy Equipment Operators,23.02
2014,Northern region,    Heavy Equipment Operators,23.05
2015,Northern region,    Heavy Equipment Operators,23.86
2013,Northern region,    Motor Vehicle And Transit Drivers,19.18
2014,Northern region,    Motor Vehicle And Transit Drivers,19.62
2015,Northern region,    Motor Vehicle And Transit Drivers,21.05
2013,Northern region,    Longshore Workers And Material Handlers,16.55
2014,Northern region,    Longshore Workers And Material Handlers,19.38
2015,Northern region,    Longshore Workers And Material Handlers,16.66
2013,Northern region,    Trades Helpers And Labourers,18.76
2014,Northern region,    Trades Helpers And Labourers,19.97
2015,Northern region,    Trades Helpers And Labourers,20.91
2014,Northern region,"    Supervisors, Mining, Oil And Gas",35
2015,Northern region,"    Supervisors, Mining, Oil And Gas",33.96
2013,Northern region,"    Underground Miners, Oil And Gas Drillers And Related Workers",30.55
2014,Northern region,"    Underground Miners, Oil And Gas Drillers And Related Workers",29.11
2015,Northern region,"    Underground Miners, Oil And Gas Drillers And Related Workers",28.44
2013,Northern region,    Primary Production Labourers,17.02
2014,Northern region,    Primary Production Labourers,18.83
2015,Northern region,    Primary Production Labourers,18.3
2013,Northern region,"    Supervisors, Processing Occupations",31.51
2013,Northern region,"    Labourers In Processing, Manufacturing And Utilities",22.11
2014,Northern region,"    Labourers In Processing, Manufacturing And Utilities",22.4
2015,Northern region,"    Labourers In Processing, Manufacturing And Utilities",21.81
